LA_Name,LSOA_Code,LA_Code,Service_users_LSOA,GP_PT_walk_mins,GP_PT_15mins_perc
Blackpool,E01012728,E06000009,719.625900268555,7.94263570846719,100
Blackpool,E01012729,E06000009,732.336685180664,4.98914553583265,100
Blackpool,E01012730,E06000009,669.76050567627,13.6549489973866,60.2919703838556
Blackpool,E01012731,E06000009,711.803863525391,9.42423074161753,81.3186810595553
Blackpool,E01012732,E06000009,810.55687713623,9.02072384434724,84.4390822699844
Blackpool,E01012733,E06000009,460.521461486816,4.95118900527011,100
Blackpool,E01012734,E06000009,616.961860656738,4.43583196402773,100
Blackpool,E01012735,E06000009,684.426795959473,7.79855713287851,100
Blackpool,E01012736,E06000009,457.588203430176,5.88192314388599,100
Blackpool,E01012737,E06000009,787.090827941895,3.42498132165904,100
Blackpool,E01012738,E06000009,550.47469329834,9.33824169896808,100
Blackpool,E01012739,E06000009,565.140983581543,8.49501724058106,100
Blackpool,E01012740,E06000009,669.760536193848,7.97052546335127,100
Blackpool,E01012741,E06000009,594.473571777344,10.530954116609,100
Blackpool,E01012742,E06000009,528.964149475098,5.07613677149444,100
Blackpool,E01012743,E06000009,725.492416381836,4.77483821043111,100
Blackpool,E01012744,E06000009,729.403419494629,7.31571063291725,100
Blackpool,E01012745,E06000009,738.203193664551,3.64288740720863,100
Blackpool,E01012746,E06000009,778.291046142578,7.42680915222758,100
Blackpool,E01012747,E06000009,597.406829833984,16.6856141268382,21.1129305035236
Blackpool,E01012748,E06000009,699.093078613281,7.57093701288103,100
Blackpool,E01012749,E06000009,699.093086242676,13.8855945481587,85.734266204376
Blackpool,E01012750,E06000009,718.648139953613,13.1260952177678,47.6190468101856
Blackpool,E01012751,E06000009,718.648147583008,12.8459455936637,80.816326617276
Blackpool,E01012752,E06000009,570.029762268066,12.8604973710665,100
Blackpool,E01012753,E06000009,458.565948486328,10.8202771936417,100
Blackpool,E01012754,E06000009,510.386840820313,12.8396745055884,100
Blackpool,E01012755,E06000009,594.473564147949,5.91180918384533,100
Burnley,E01024855,E07000117,791.800079345703,5.28005140999978,100
Burnley,E01024856,E07000117,613.924583435059,4.55100998500821,100
Burnley,E01024857,E07000117,641.368225097656,6.83147385384276,77.4960371337483
Burnley,E01024858,E07000117,650.51611328125,4.42932818382764,100
Burnley,E01024859,E07000117,700.321258544922,8.57537033683398,100
Burnley,E01024860,E07000117,537.692237854004,13.5302084681579,51.0396977302912
Burnley,E01024861,E07000117,538.708671569824,5.88569793310866,100
Burnley,E01024862,E07000117,671.861183166504,5.57954610653273,100
Burnley,E01024863,E07000117,627.13818359375,12.84309543935,100
Burnley,E01024864,E07000117,752.159248352051,9.22770262120074,100
Burnley,E01024865,E07000117,783.668632507324,11.8126200028724,100
Burnley,E01024866,E07000117,872.098159790039,13.7962704632635,100
Burnley,E01024867,E07000117,607.825988769531,16.6543978365038,33.277591847305
Burnley,E01024868,E07000117,528.544326782227,21.3671154211869,0
Burnley,E01024869,E07000117,656.614707946777,18.0489010176482,21.8266255326877
Burnley,E01024870,E07000117,524.478607177734,22.6691863731252,0
Burnley,E01024871,E07000117,528.544364929199,18.5184414324328,0
Burnley,E01024872,E07000117,670.844749450684,18.9860758225439,0
Burnley,E01024873,E07000117,620.023162841797,19.7021309736986,0
Burnley,E01024874,E07000117,443.164093017578,17.0213989009184,23.8532101246963
Burnley,E01024875,E07000117,418.769737243652,6.40504859888573,100
Burnley,E01024876,E07000117,458.41056060791,4.0823281260774,100
Burnley,E01024877,E07000117,546.840103149414,8.34399641699784,100
Burnley,E01024878,E07000117,434.016220092773,9.92449683365814,100
Burnley,E01024879,E07000117,580.382339477539,6.78500872122764,100
Burnley,E01024880,E07000117,642.384666442871,8.78283221101793,100
Burnley,E01024881,E07000117,631.203910827637,3.53041873356855,100
Burnley,E01024882,E07000117,731.830657958984,5.99155569381316,100
Burnley,E01024883,E07000117,665.762573242188,9.73967928816448,100
Burnley,E01024884,E07000117,706.419853210449,11.3239425305612,100
Burnley,E01024885,E07000117,880.229614257813,5.52908778916899,100
Burnley,E01024886,E07000117,643.401084899902,8.76259116781113,100
Burnley,E01024887,E07000117,607.825996398926,14.1852174167437,77.2575241936418
Burnley,E01024888,E07000117,734.879928588867,18.4150205949675,0
Burnley,E01024889,E07000117,636.286064147949,7.33984035208156,100
Burnley,E01024890,E07000117,649.49967956543,10.5128481926878,100
Burnley,E01024891,E07000117,655.598281860352,13.4017363453055,79.999999534508
Burnley,E01024892,E07000117,638.318939208984,9.54044600816835,100
Burnley,E01024893,E07000117,664.746147155762,8.29888362020591,100
Burnley,E01024894,E07000117,536.675788879395,10.5820076063917,100
Burnley,E01024895,E07000117,596.645248413086,6.67345827933967,100
Burnley,E01024896,E07000117,592.57950592041,14.8838938677776,51.8010274701048
Burnley,E01024897,E07000117,545.823677062988,12.3672994929791,100
Burnley,E01024898,E07000117,719.633445739746,9.6858899692866,100
Burnley,E01024899,E07000117,688.124092102051,10.9415952416263,100
Burnley,E01024900,E07000117,696.255546569824,16.7600003436381,14.4525551156494
Burnley,E01024901,E07000117,779.602905273438,13.3921119603111,72.6205987874123
Burnley,E01024902,E07000117,712.518432617188,3.73285310236646,100
