stop_id,stop_name,stop_lat,stop_lon,LSOA11CD,LSOA11NM,LADNM,join_method,nearest_dist_m
1800EH30071,Baron Road,53.43811,-2.069311,,,,,
1800NC22491,The Lamb Inn,53.6057,-2.326057,,,,,
2800S55002A,Old Racecourse Road,53.50913,-2.95633,,,,,
2800S41031B,Bolan Street,53.41623,-2.92002,,,,,
090002370668,Fire Station,54.602821623193655,-3.1274704494024252,,,,,
2800S20028A,Mount Road,53.37002,-3.02922,,,,,
1800WAH0881,Smethurst Lane,53.557526,-2.45745,,,,,
2800S11086A,Trent Road,53.49061,-2.71897,,,,,
2590B0005,Collingwood Avenue,53.819160354,-3.032648526,E01012677,Blackpool 009B,Blackpool,within,
1800SJ00211,Trafford Bar,53.46294,-2.277012,,,,,
1800WA20181,The Crown,53.60156,-2.554155,E01024973,Chorley 014E,Chorley,nearest,207.03555131430252
1800NC05561,Unsworth Medical Centre,53.56112,-2.273305,,,,,
0600CR327,Barons Road,53.062499,-2.451409,,,,,
2800S10006A,Borron Road,53.45634,-2.63452,,,,,
2500BTA01094,St Albans Road,53.758787229,-3.015057618,E01025005,Fylde 005C,Fylde,within,
2500LAA00232,Malvern Avenue,53.790461578,-2.312242236,E01024887,Burnley 011B,Burnley,within,
1800EB01651,Dickenson Road,53.45351,-2.211249,,,,,
25001182,Skeffington Road,53.762774878,-2.678389207,E01025295,Preston 014A,Preston,within,
2500IMG970,Grove Park,53.575357009,-2.878888011,E01025517,West Lancashire 006E,West Lancashire,within,
090010020444,Southport Drive,54.10745181622256,-3.2593999464456385,,,,,
1800SG40521,Longshut Lane,53.400493,-2.155088,,,,,
1800ED13001,Brookway,53.53827,-2.027876,,,,,
0600MA6041,Holy Trinity Church,53.264753,-2.113077,,,,,
1800ED12371,Slack Lane,53.57139,-2.034074,,,,,
2800S62020A,Welwyn Avenue,53.60723,-3.02715,E01025495,West Lancashire 003B,West Lancashire,nearest,273.5191299939675
1800EH39381,Morrisons,53.477033,-2.081607,,,,,
1800WA14981,Johnson Fold Terminus,53.597089,-2.472731,,,,,
2800S27045B,Hawthorn Lane,53.32741,-2.9804,,,,,
2800S53046B,Longdale Lane,53.5077,-2.98528,,,,,
1800EDH1081,Rochdale Lane,53.569525,-2.126121,,,,,
1800TCBS091,The Trafford Centre Bus Station,53.46782,-2.35178,,,,,
1800EB11761,Elaine Avenue,53.52274,-2.185334,,,,,
1800SB31891,Sedgeborough Road,53.453534,-2.256951,,,,,
1800WA42911,Charlesworth Avenue,53.55863,-2.41524,,,,,
1800WK23131,Mill Lane,53.57922,-2.711211,E01025539,West Lancashire 005E,West Lancashire,nearest,219.2824688107474
1800SJH2931,Altrincham College of Arts,53.38377,-2.323584,,,,,
3890D000205,stop S5,53.025731787,-2.176246037,,,,,
2500BTA01069,East Bank Road,53.748657332,-3.02979608,E01024988,Fylde 006E,Fylde,within,
450019519,Moderna Way,53.73111110211747,-1.969723077380618,,,,,
1800EB10651,Cotton Grass Drive,53.52839,-2.194802,,,,,
2500IMG2290,Willow Lane,53.745936612,-2.374338199,E01025084,Hyndburn 006G,Hyndburn,within,
1800SJ47271,Derbyshire Road,53.42231,-2.311733,,,,,
2500LAA07415,Eldwick Street,53.805301851,-2.22803322,E01024893,Burnley 002A,Burnley,within,
068000000583,Runcorn Station,53.33925,-2.73855,,,,,
1800EB06481,Palmerston Street,53.48087,-2.212169,,,,,
1800NE24451,Furness Avenue,53.64833,-2.104663,,,,,
2500DCL5690,Whitewalls Drive,53.848848263,-2.192215209,E01025228,Pendle 007C,Pendle,within,
3200YNE04734,The Mains Drive,54.072257,-2.286741,,,,,
1800WK13191,Astley Park Way,53.50507,-2.439093,,,,,
090074560867,Cricket Ground,54.65755448991105,-2.7506638216708,,,,,
0690WNA02916,Chapelford Farm,53.39632811,-2.639354774,,,,,
2500DCL2211,Hawthorn Cres,53.547959716,-2.796110553,E01025524,West Lancashire 011B,West Lancashire,within,
1800NC07121,The Brook,53.636,-2.331259,,,,,
2500IMG1362,Football Ground,53.773736365,-2.690128106,E01025275,Preston 011C,Preston,within,
2500IMG2786,Newman Street,53.803553933,-2.234886813,E01024895,Burnley 003F,Burnley,within,
2800S46149B,Nightingale Road,53.45375,-2.87535,,,,,
069000023705,Memphis Belle,53.412147506,-2.631046921,,,,,
1800EB06611,Every Street,53.48145,-2.215954,,,,,
1800WK05421,Hunter Road,53.54882,-2.662299,,,,,
2500IMG619,Briar Road,53.873905029,-3.001751958,E01025577,Wyre 011E,Wyre,within,
1800NEH4921,Queens Park Road,53.594742,-2.217137,,,,,
0600CR19186,Derrington Avenue,53.093723,-2.44309,,,,,
450017209,High Street,53.644698266336555,-1.784452354866755,,,,,
1800SJ00081,Stretford Public Hall,53.44669,-2.306507,,,,,
1800WAH5041,Wilby Avenue,53.56951,-2.37015,,,,,
2800S40094A,Suffield Road,53.43812,-2.9823,,,,,
1800ED12601,Braeside,53.57664,-2.05584,,,,,
2800S23049A,Warren Drive,53.43756,-3.05125,,,,,
090033102596,Kirklands Road,54.87673431451982,-2.9238153678183196,,,,,
1800NE25041,Bird in the Hand,53.60258,-2.091387,,,,,
090010020448,Roundhouse,54.0974902601717,-3.2579358614943317,,,,,
1800SJ32341,Longford Park,53.44482,-2.295834,,,,,
090002990579,Woodend car park,54.637735221705334,-3.2132352624362577,,,,,
2800S14087B,Rainhill Rail Staiton,53.41648,-2.76577,,,,,
0600CO022,The Lodge,53.095485,-2.312589,,,,,
