LSOA_Code,LSOA Name,Health and Disability Decile,Barriers to Housing & Services Decile,IDAOPI Decile,LA_Name,Service_users_LSOA,GP_PT_walk_mins,GP_PT_15mins_perc,LA_Code,Total_Above 65,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation_x,Total_Disablities,Car or van availability (5 categories) Code,Car or van availability (5 categories),Observation_y
E01012690,,,,,Blackpool,723.536895751953,18.2368239888228,16.2162161592185,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012691,,,,,Blackpool,772.424530029297,11.668012671987,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012692,,,,,Blackpool,808.601379394531,12.3458526407339,86.8198311081757,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012693,,,,,Blackpool,708.87060546875,17.0638206890341,15.3103446524132,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012694,,,,,Blackpool,630.650405883789,13.9471937331554,80.6201551137839,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012695,,,,,Blackpool,602.295585632324,10.8117046517466,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012696,,,,,Blackpool,652.160972595215,12.870059869093,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012697,,,,,Blackpool,664.87174987793,14.8164409854954,43.9705886909186,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012698,,,,,Blackpool,622.828392028809,11.2603453740388,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012699,,,,,Blackpool,742.114212036133,11.7397626896465,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012700,,,,,Blackpool,741.136451721191,10.0493930142396,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012701,,,,,Blackpool,605.22883605957,5.88767367821191,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012702,,,,,Blackpool,748.958473205566,6.34859008610808,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012703,,,,,Blackpool,690.293327331543,10.616657139902,82.1529749394569,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012704,,,,,Blackpool,1054.0172958374,15.0745270445895,65.9554735139673,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012705,,,,,Blackpool,710.826126098633,6.13876203820375,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012706,,,,,Blackpool,693.226577758789,8.4664741266571,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
