LSOA_Code,LSOA Name,Health and Disability Decile,Barriers to Housing & Services Decile,IDAOPI Decile
E01025147,Lancaster 015D E01025147,7,10,7
E01025129,Lancaster 015C E01025129,3,9,4
E01025128,Lancaster 015B E01025128,3,10,3
E01025095,Lancaster 013C E01025095,5,4,7
E01025092,Lancaster 013B E01025092,1,4,2
E01025131,Lancaster 005C E01025131,5,4,8
E01025105,Lancaster 019A E01025105,8,3,10
E01025107,Lancaster 019C E01025107,5,3,9
E01025127,Lancaster 018A E01025127,6,9,8
E01025145,Lancaster 018D E01025145,5,10,6
E01025141,Lancaster 018B E01025141,5,10,7
E01025142,Lancaster 019D E01025142,5,4,10
E01025144,Lancaster 017E E01025144,4,7,4
E01025143,Lancaster 018C E01025143,2,3,4
E01025146,Lancaster 017F E01025146,9,5,10
E01025103,Lancaster 017D E01025103,7,4,10
E01025100,Lancaster 017A E01025100,2,9,5
E01025172,Lancaster 010C E01025172,2,6,4
E01025106,Lancaster 019B E01025106,4,7,5
E01025609,Wyre 006C E01025609,7,2,9
E01025158,Lancaster 003C E01025158,5,9,9
E01025108,Lancaster 005A E01025108,4,10,8
E01025160,Lancaster 003E E01025160,7,5,10
E01025109,Lancaster 005B E01025109,6,4,9
E01025130,Lancaster 002A E01025130,6,2,9
E01025132,Lancaster 002B E01025132,6,2,10
E01025166,Lancaster 002C E01025166,6,4,8
E01025167,Lancaster 002D E01025167,6,1,9
E01025133,Lancaster 005D E01025133,6,10,8
E01025113,Lancaster 008B E01025113,3,10,4
E01025118,Lancaster 008C E01025118,1,10,4
E01025110,Lancaster 009A E01025110,1,8,1
E01025117,Lancaster 009C E01025117,1,8,1
E01025120,Lancaster 009D E01025120,1,10,2
E01025116,Lancaster 009B E01025116,1,8,4
E01025119,Lancaster 008D E01025119,4,10,6
E01025115,Lancaster 016B E01025115,1,9,1
E01025114,Lancaster 016A E01025114,4,10,5
E01025139,Lancaster 006D E01025139,1,8,2
E01025123,Lancaster 016E E01025123,4,9,7
E01025121,Lancaster 016C E01025121,4,9,5
E01025122,Lancaster 016D E01025122,4,10,7
E01025124,Lancaster 016F E01025124,2,10,3
E01033072,Lancaster 016I E01033072,2,3,5
